"site","year"
"LTER4","2021"
"LTER4","2022"
"LTER4","2023"
"LTER4","2024"
"LTER4","2006"
"LTER4","2007"
"LTER4","2008"
"LTER4","2009"
"LTER4","2010"
"LTER4","2011"
"LTER4","2012"
"LTER4","2013"
"LTER4","2014"
"LTER4","2015"
"LTER4","2016"
"LTER4","2017"
"LTER4","2018"
"LTER4","2019"
"LTER4","2020"
"LTER4","2021"
"LTER4","2022"
"LTER4","2023"
"LTER4","2024"
"LTER4","2006"
"LTER4","2007"
"LTER4","2008"
"LTER4","2009"
"LTER4","2010"
"LTER4","2011"
"LTER4","2012"
"LTER4","2013"
"LTER4","2014"
"LTER4","2015"
"LTER4","2016"
"LTER4","2017"
"LTER4","2018"
"LTER4","2019"
"LTER4","2020"
"LTER4","2021"
"LTER4","2022"
"LTER4","2023"
"LTER4","2024"
"LTER5","2006"
"LTER5","2007"
"LTER5","2008"
"LTER5","2009"
"LTER5","2010"
"LTER5","2011"
"LTER5","2012"
"LTER5","2013"
"LTER5","2014"
"LTER5","2015"
"LTER5","2016"
"LTER5","2017"
"LTER5","2018"
"LTER5","2019"
"LTER5","2020"
"LTER5","2021"
"LTER5","2022"
"LTER5","2023"
"LTER5","2024"
"LTER5","2006"
"LTER5","2007"
"LTER5","2008"
"LTER5","2009"
"LTER5","2010"
"LTER5","2011"
"LTER5","2012"
"LTER5","2013"
"LTER5","2014"
"LTER5","2015"
"LTER5","2016"
"LTER5","2017"
"LTER5","2018"
"LTER5","2019"
"LTER5","2020"
"LTER5","2021"
"LTER5","2022"
"LTER5","2023"
"LTER5","2024"
"LTER5","2006"
"LTER5","2007"
"LTER5","2008"
"LTER5","2009"
"LTER5","2010"
"LTER5","2011"
"LTER5","2012"
"LTER5","2013"
"LTER5","2014"
"LTER5","2015"
"LTER5","2016"
"LTER5","2017"
"LTER5","2018"
"LTER5","2019"
"LTER5","2020"
"LTER5","2021"
"LTER5","2022"
"LTER5","2023"
"LTER5","2024"
"LTER6","2006"
"LTER6","2007"
"LTER6","2008"
"LTER6","2009"
"LTER6","2010"
"LTER6","2011"
"LTER6","2012"
"LTER6","2013"
"LTER6","2014"
"LTER6","2015"
"LTER6","2016"
"LTER6","2017"
"LTER6","2018"
"LTER6","2019"
"LTER6","2020"
"LTER6","2021"
"LTER6","2022"
"LTER6","2023"
"LTER6","2024"
"LTER6","2006"
"LTER6","2007"
"LTER6","2008"
"LTER6","2009"
"LTER6","2010"
"LTER6","2011"
"LTER6","2012"
"LTER6","2013"
"LTER6","2014"
"LTER6","2015"
"LTER6","2016"
"LTER6","2017"
"LTER6","2018"
"LTER6","2019"
"LTER6","2020"
"LTER6","2021"
"LTER6","2022"
"LTER6","2023"
"LTER6","2024"
"LTER6","2006"
"LTER6","2007"
"LTER6","2008"
"LTER6","2009"
"LTER6","2010"
"LTER6","2011"
"LTER6","2012"
"LTER6","2013"
"LTER6","2014"
"LTER6","2015"
"LTER6","2016"
"LTER6","2017"
"LTER6","2018"
"LTER6","2019"
"LTER6","2020"
"LTER6","2021"
"LTER6","2022"
"LTER6","2023"
"LTER6","2024"
